[xl/worksheets/sheet1.xml]
附件2
2025年陕西电网统调非市场化发电企业优先发电量计划表（上网电量）
单位：兆瓦、兆瓦时、小时
序号	发电企业	发电类型	装机容量	优先发电量（上网）	发电利用小时数	分月上网电量
1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月
总计	4280.063	6376548.3045974
一、风电	2245	4006786.6332394
18	陕西新耀能源风电有限公司（宽云风电场）	分散式	49.5	88345.6295524946	1821.18387038744	6291.02623548903	5305.28080053546	8619.89699713294	8869.28012163335	8636.29893926678	8071.20297571327	5477.75933303764	6534.34585149037	9632.72829819578	5336.1	6839.91	8731.8
19	陕西安普新能科技有限公司（西友风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
20	蒲城县洛欣滨风力发电有限公司（洛滨风电场）	分散式	40	71390.4077191876	1821.18387038744	5083.65756403154	4287.09559639229	6965.57333101651	7167.09504778453	6978.82742567013	6522.1842227986	4426.47218831325	5280.27947595181	7784.02286722892	4312	5527.2	7056
21	陕西长安电力榆林配售电有限公司（徐庄风电场）	分散式	50	89238.0096489845	1821.18387038744	6354.57195503942	5358.86949549036	8706.96666377064	8958.86880973066	8723.53428208766	8152.73027849825	5533.09023539156	6600.34934493976	9730.02858403614	5390	6909	8820
22	大荔县国顺新能源有限公司（西寺子风电场）	分散式	30	53542.8057893907	1821.18387038744	3812.74317302365	3215.32169729422	5224.17999826238	5375.32128583839	5234.1205692526	4891.63816709895	3319.85414123493	3960.20960696386	5838.01715042169	3234	4145.4	5292
23	黄龙县科林新能风力发电有限公司（韬光风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
24	延安珑瑞新能源有限公司（谐文风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
25	延安市宝塔区宝旭蓝天新能源有限公司（厚德风电场）	分散式	19.8	35338.2518209978	1821.18387038744	2516.41049419561	2122.11232021418	3447.95879885317	3547.71204865334	3454.51957570671	3228.48119028531	2191.10373321506	2613.73834059615	3853.09131927831	2134.44	2735.964	3492.72
26	黄河水电定边新能源有限责任公司（董新庄风电场三期）	分散式	30	53542.8057893907	1821.18387038744	3812.74317302365	3215.32169729422	5224.17999826238	5375.32128583839	5234.1205692526	4891.63816709895	3319.85414123493	3960.20960696386	5838.01715042169	3234	4145.4	5292
27	大荔县欣源新能源开发有限公司（北丁风电场）	分散式	30	53542.8057893907	1821.18387038744	3812.74317302365	3215.32169729422	5224.17999826238	5375.32128583839	5234.1205692526	4891.63816709895	3319.85414123493	3960.20960696386	5838.01715042169	3234	4145.4	5292
28	大荔县欣源新能源开发有限公司（平罗风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
29	陕西冠翔新能源有限公司（冠翔风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
30	陕西冠誉达新能源有限公司（誉达风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
31	靖边秦风泰风力发电有限公司（齐物风电场）	分散式	30	53542.8057893907	1821.18387038744	3812.74317302365	3215.32169729422	5224.17999826238	5375.32128583839	5234.1205692526	4891.63816709895	3319.85414123493	3960.20960696386	5838.01715042169	3234	4145.4	5292
32	吴起大益山风力发电有限公司（季古堡风电场）	分散式	48	85668.4892630251	1821.18387038744	6100.38907683784	5144.51471567075	8358.68799721981	8600.51405734143	8374.59291080415	7826.62106735832	5311.7666259759	6336.33537114217	9340.8274406747	5174.4	6632.64	8467.2
33	国家电投集团印台新能源发电有限公司（军台岭风电场）	分散式	20	35695.2038595938	1821.18387038744	2541.82878201577	2143.54779819615	3482.78666550826	3583.54752389226	3489.41371283506	3261.0921113993	2213.23609415662	2640.13973797591	3892.01143361446	2156	2763.6	3528
